LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01020380,East Dorset 007C,E06000059,Dorset,"32,724",10
E01020377,East Dorset 007A,E06000059,Dorset,"32,638",10
E01015400,Poole 003F,E06000058,"Bournemouth, Christchurch and Poole","32,620",10
E01015399,Poole 003E,E06000058,"Bournemouth, Christchurch and Poole","32,547",10
E01020525,West Dorset 010F,E06000059,Dorset,"32,444",10
E01015455,Poole 017D,E06000058,"Bournemouth, Christchurch and Poole","32,379",10
E01020402,East Dorset 011E,E06000059,Dorset,"32,362",10
E01020415,East Dorset 003E,E06000059,Dorset,"32,323",10
E01020382,East Dorset 012A,E06000059,Dorset,"32,265",10
E01020387,East Dorset 012F,E06000059,Dorset,"32,256",10
E01020374,East Dorset 001B,E06000059,Dorset,"32,159",10
E01015398,Poole 003D,E06000058,"Bournemouth, Christchurch and Poole","32,133",10
E01020470,Purbeck 001C,E06000059,Dorset,"32,050",10
E01015401,Poole 003G,E06000058,"Bournemouth, Christchurch and Poole","31,927",10
E01015315,Bournemouth 011B,E06000058,"Bournemouth, Christchurch and Poole","31,921",10
E01015295,Bournemouth 020A,E06000058,"Bournemouth, Christchurch and Poole","31,892",10
E01015459,Poole 017E,E06000058,"Bournemouth, Christchurch and Poole","31,884",10
E01015396,Poole 003B,E06000058,"Bournemouth, Christchurch and Poole","31,723",10
E01020383,East Dorset 012B,E06000059,Dorset,"31,693",10
E01015397,Poole 003C,E06000058,"Bournemouth, Christchurch and Poole","31,622",10
E01020401,East Dorset 011D,E06000059,Dorset,"31,607",10
E01020381,East Dorset 007D,E06000059,Dorset,"31,584",10
E01020358,Christchurch 003D,E06000058,"Bournemouth, Christchurch and Poole","31,363",10
E01020418,East Dorset 002C,E06000059,Dorset,"31,212",10
E01020420,East Dorset 002E,E06000059,Dorset,"31,205",10
E01020355,Christchurch 007B,E06000058,"Bournemouth, Christchurch and Poole","31,164",10
E01020395,East Dorset 011A,E06000059,Dorset,"31,132",10
E01015464,Poole 013F,E06000058,"Bournemouth, Christchurch and Poole","31,038",10
E01020523,West Dorset 010D,E06000059,Dorset,"31,005",10
E01015458,Poole 013A,E06000058,"Bournemouth, Christchurch and Poole","30,986",10
E01015404,Poole 018C,E06000058,"Bournemouth, Christchurch and Poole","30,965",10
E01020413,East Dorset 003C,E06000059,Dorset,"30,911",10
E01020407,East Dorset 009D,E06000059,Dorset,"30,908",10
E01020366,Christchurch 002E,E06000058,"Bournemouth, Christchurch and Poole","30,841",10
E01020386,East Dorset 012E,E06000059,Dorset,"30,716",10
E01015342,Bournemouth 010C,E06000058,"Bournemouth, Christchurch and Poole","30,686",10
E01020463,North Dorset 001C,E06000059,Dorset,"30,654",10
E01015452,Poole 017A,E06000058,"Bournemouth, Christchurch and Poole","30,438",10
E01015434,Poole 001D,E06000058,"Bournemouth, Christchurch and Poole","30,329",10
E01020406,East Dorset 004D,E06000059,Dorset,"30,236",10
E01020559,Weymouth and Portland 002C,E06000059,Dorset,"30,118",10
E01015433,Poole 001C,E06000058,"Bournemouth, Christchurch and Poole","30,080",10
E01020370,Christchurch 004B,E06000058,"Bournemouth, Christchurch and Poole","29,990",10
E01020426,East Dorset 010A,E06000059,Dorset,"29,927",10
E01020371,Christchurch 004C,E06000058,"Bournemouth, Christchurch and Poole","29,801",10
E01020362,Christchurch 007D,E06000058,"Bournemouth, Christchurch and Poole","29,767",10
E01020378,East Dorset 009C,E06000059,Dorset,"29,721",10
E01020417,East Dorset 002B,E06000059,Dorset,"29,624",10
E01020356,Christchurch 007C,E06000058,"Bournemouth, Christchurch and Poole","29,616",10
E01020560,Weymouth and Portland 002D,E06000059,Dorset,"29,600",10
E01020391,East Dorset 008B,E06000059,Dorset,"29,537",9
E01015445,Poole 012A,E06000058,"Bournemouth, Christchurch and Poole","29,395",9
E01020414,East Dorset 003D,E06000059,Dorset,"29,369",9
E01015431,Poole 001A,E06000058,"Bournemouth, Christchurch and Poole","29,326",9
E01020450,North Dorset 002B,E06000059,Dorset,"29,201",9
E01020457,North Dorset 003D,E06000059,Dorset,"29,137",9
E01015405,Poole 018D,E06000058,"Bournemouth, Christchurch and Poole","29,125",9
E01020409,East Dorset 005C,E06000059,Dorset,"29,083",9
E01020384,East Dorset 012C,E06000059,Dorset,"28,928",9
E01020423,East Dorset 006C,E06000059,Dorset,"28,926",9
E01020404,East Dorset 004B,E06000059,Dorset,"28,673",9
E01015437,Poole 002D,E06000058,"Bournemouth, Christchurch and Poole","28,503",9
E01020369,Christchurch 004A,E06000058,"Bournemouth, Christchurch and Poole","28,421",9
E01015463,Poole 013E,E06000058,"Bournemouth, Christchurch and Poole","28,400",9
E01015412,Poole 004A,E06000058,"Bournemouth, Christchurch and Poole","28,390",9
E01020400,East Dorset 011C,E06000059,Dorset,"28,276",9
E01020419,East Dorset 002D,E06000059,Dorset,"28,269",9
E01020350,Christchurch 003B,E06000058,"Bournemouth, Christchurch and Poole","28,237",9
E01015360,Bournemouth 012D,E06000058,"Bournemouth, Christchurch and Poole","28,191",9
E01020373,East Dorset 001A,E06000059,Dorset,"28,124",9
E01015325,Bournemouth 006D,E06000058,"Bournemouth, Christchurch and Poole","28,104",9
E01033154,North Dorset 006E,E06000059,Dorset,"28,066",9
E01020532,West Dorset 005B,E06000059,Dorset,"28,011",9
E01020416,East Dorset 002A,E06000059,Dorset,"27,984",9
E01015323,Bournemouth 006B,E06000058,"Bournemouth, Christchurch and Poole","27,934",9
E01015388,Poole 009C,E06000058,"Bournemouth, Christchurch and Poole","27,812",9
E01033156,North Dorset 002E,E06000059,Dorset,"27,806",9
E01020544,West Dorset 001C,E06000059,Dorset,"27,791",9
E01020399,East Dorset 011B,E06000059,Dorset,"27,760",9
E01015432,Poole 001B,E06000058,"Bournemouth, Christchurch and Poole","27,692",9
E01033158,North Dorset 002F,E06000059,Dorset,"27,612",9
E01020557,Weymouth and Portland 002A,E06000059,Dorset,"27,597",9
E01015316,Bournemouth 014A,E06000058,"Bournemouth, Christchurch and Poole","27,453",9
E01015419,Poole 006C,E06000058,"Bournemouth, Christchurch and Poole","27,300",9
E01020367,Christchurch 006D,E06000058,"Bournemouth, Christchurch and Poole","27,253",9
E01015451,Poole 012E,E06000058,"Bournemouth, Christchurch and Poole","27,227",9
E01015350,Bournemouth 006E,E06000058,"Bournemouth, Christchurch and Poole","27,189",9
E01020351,Christchurch 002A,E06000058,"Bournemouth, Christchurch and Poole","27,141",9
E01015300,Bournemouth 020E,E06000058,"Bournemouth, Christchurch and Poole","27,131",9
E01015395,Poole 003A,E06000058,"Bournemouth, Christchurch and Poole","27,060",9
